studentRegNo,session,queueName,type,position,stallName
S/18/427,M,Q1,P,1,CGN1
S/18/030,M,Q1,P,2,CGN1
S/18/037,M,Q1,P,3,CGN1
S/18/060,M,Q1,P,4,CGN1
S/18/104,M,Q1,P,5,CGN1
S/18/124,M,Q1,P,6,CGN1
S/18/303,M,Q1,P,7,CGN1
S/18/319,M,Q1,P,8,CGN1
S/18/324,M,Q1,P,9,CGN1
S/19/433,M,Q1,P,10,CGN1
S/19/435,M,Q1,P,11,CGN1
S/19/437,M,Q1,P,12,CGN1
S/19/442,M,Q1,P,13,CGN1
S/19/445,M,Q1,P,14,CGN1
S/19/451,M,Q1,P,15,CGN1
S/18/180,M,Q1,P,16,CGN1
S/19/378,M,Q1,P,17,CGN1
S/19/205,M,Q1,P,18,CGN1
S/18/441,A,Q1,P,19,CGN1
S/18/562,A,Q1,P,20,CGN1
S/18/448,A,Q1,P,21,CGN1
S/18/456,A,Q1,P,22,CGN1
S/18/459,A,Q1,P,23,CGN1
S/18/462,A,Q1,P,24,CGN1
S/18/486,A,Q1,P,25,CGN1
S/18/495,A,Q1,P,26,CGN1
S/18/507,A,Q1,P,27,CGN1
S/19/333,A,Q1,P,28,CGN1
S/18/542,A,Q1,P,29,CGN1
S/18/577,A,Q1,P,30,CGN1
S/18/582Â ,A,Q1,P,31,CGN1
S/19/302,A,Q1,P,32,CGN1
S/17/499,A,Q1,P,33,CGN1
S/19/355,A,Q1,P,34,CGN1
S/19/146,A,Q1,P,35,CGN1
S/19/420,A,Q1,P,36,CGN1
S/18/338,M,Q2,P,1,CGN1
S/18/325,M,Q2,P,2,CGN1
S/18/351,M,Q2,P,3,CGN1
S/18/353,M,Q2,P,4,CGN1
S/18/354,M,Q2,P,5,CGN1
S/18/361,M,Q2,P,6,CGN1
S/18/370,M,Q2,P,7,CGN1
S/18/377,M,Q2,P,8,CGN1
S/19/457,M,Q2,P,9,CGN1
S/19/482,M,Q2,P,10,CGN1
S/19/485,M,Q2,P,11,CGN1
S/19/515,M,Q2,P,12,CGN1
S/19/522,M,Q2,P,13,CGN1
S/19/524,M,Q2,P,14,CGN1
S/18/416,M,Q2,P,15,CGN1
S/19/410,M,Q2,P,16,CGN1
S/19/304,M,Q2,P,17,CGN1
S/19/SP/357,M,Q2,P,18,CGN1
S/18/422,A,Q2,P,19,CGN1
S/18/036,A,Q2,P,20,CGN1
S/18/409,A,Q2,P,21,CGN1
S/18/517,A,Q2,P,22,CGN1
S/18/523,A,Q2,P,23,CGN1
S/18/524,A,Q2,P,24,CGN1
S/18/528,A,Q2,P,25,CGN1
S/18/530,A,Q2,P,26,CGN1
S/18/533,A,Q2,P,27,CGN1
S/18/553,A,Q2,P,28,CGN1
S/19/303,A,Q2,P,29,CGN1
S/19/320,A,Q2,P,30,CGN1
S/19/328,A,Q2,P,31,CGN1
S/19/331,A,Q2,P,32,CGN1
S/19/349,A,Q2,P,33,CGN1
s/18/417,A,Q2,P,34,CGN1
S/19/540,A,Q2,P,35,CGN1
S/19/408,A,Q2,P,36,CGN1
S/18/422,M,Q3,P,1,CGN1
S/18/557,M,Q3,P,2,CGN1
S/18/403,M,Q3,P,3,CGN1
S/18/404,M,Q3,P,4,CGN1
S/18/407,M,Q3,P,5,CGN1
S/18/419,M,Q3,P,6,CGN1
S/18/438,M,Q3,P,7,CGN1
S/18/443,M,Q3,P,8,CGN1
S/18/444,M,Q3,P,9,CGN1
S/19/527,M,Q3,P,10,CGN1
S/19/538,M,Q3,P,11,CGN1
S/19/577,M,Q3,P,12,CGN1
S/19/579,M,Q3,P,13,CGN1
S/19/969,M,Q3,P,14,CGN1
S/17/308,M,Q3,P,15,CGN1
S/18/340,M,Q3,P,16,CGN1
S/19/346,M,Q3,P,17,CGN1
S/19/172,M,Q3,P,18,CGN1
S/18/380,A,Q3,P,19,CGN1
S/18/044,A,Q3,P,20,CGN1
S/18/335,A,Q3,P,21,CGN1
S/18/574,A,Q3,P,22,CGN1
S/18/580,A,Q3,P,23,CGN1
S/18/588,A,Q3,P,24,CGN1
S/18/597,A,Q3,P,25,CGN1
S/18/091,A,Q3,P,26,CGN1
S/18/599,A,Q3,P,27,CGN1
S/19/362,A,Q3,P,28,CGN1
S/19/369,A,Q3,P,29,CGN1
S/19/387,A,Q3,P,30,CGN1
S/19/401,A,Q3,P,31,CGN1
S/19/405,A,Q3,P,32,CGN1
S/19/431,A,Q3,P,33,CGN1
S/18/492,A,Q3,P,34,CGN1
S/19/350,A,Q3,P,35,CGN1
S/19/543,A,Q3,P,36,CGN1