studentRegNo,session,queueName,type,stallName,position
S/18/011,M,Q1,P,HCB1,1
S/18/018,M,Q1,P,HCB1,2
S/18/019,M,Q1,P,HCB1,3
S/18/096,M,Q1,P,HCB1,4
S/18/120,M,Q1,P,HCB1,5
S/18/127,M,Q1,P,HCB1,6
S/18/511,M,Q1,P,HCB1,7
S/18/824,M,Q1,P,HCB1,8
S/18/844,M,Q1,P,HCB1,9
S/18/807,M,Q1,P,HCB1,10
S/18/809,M,Q1,P,HCB1,11
S/19/174,M,Q1,P,HCB1,12
S/18/039,M,Q1,P,HCB1,13
S/18/168,M,Q1,P,HCB1,14
S/18/062,M,Q1,P,HCB1,15
S/19/827,M,Q1,P,HCB1,16
S/19/828,M,Q1,P,HCB1,17
S/19/862,M,Q1,P,HCB1,18
S/19/852,M,Q1,P,HCB1,19
S/18/152,M,Q1,P,HCB1,20
S/18/187,A,Q1,P,HCB1,21
S/18/305,A,Q1,P,HCB1,22
S/18/352,A,Q1,P,HCB1,23
S/18/385,A,Q1,P,HCB1,24
S/18/398,A,Q1,P,HCB1,25
S/18/399,A,Q1,P,HCB1,26
S/18/358,A,Q1,P,HCB1,27
S/18/831,A,Q1,P,HCB1,28
S/18/839,A,Q1,P,HCB1,29
S/18/838,A,Q1,P,HCB1,30
S/18/846,A,Q1,P,HCB1,31
S/19/103,A,Q1,P,HCB1,32
S/19/200,A,Q1,P,HCB1,33
S/19/332,A,Q1,P,HCB1,34
S/19/360,A,Q1,P,HCB1,35
S/19/831,A,Q1,P,HCB1,36
S/19/819,A,Q1,P,HCB1,37
S/19/849,A,Q1,P,HCB1,38
S/19/807,A,Q1,P,HCB1,39
S/19/861,A,Q1,P,HCB1,40
S/18/145,M,Q2,P,HCB1,1
S/18/166,M,Q2,P,HCB1,2
S/18/174,M,Q2,P,HCB1,3
S/18/181,M,Q2,P,HCB1,4
S/18/541,M,Q2,P,HCB1,5
S/18/602,M,Q2,P,HCB1,6
S/18/376,M,Q2,P,HCB1,7
S/18/811,M,Q2,P,HCB1,8
S/18/816,M,Q2,P,HCB1,9
S/18/SP/851,M,Q2,P,HCB1,10
S/18/845,M,Q2,P,HCB1,11
S/18/464,M,Q2,P,HCB1,12
S/19/028,M,Q2,P,HCB1,13
S/19/066,M,Q2,P,HCB1,14
S/18/360,M,Q2,P,HCB1,15
S/19/845,M,Q2,P,HCB1,16
S/19/858,M,Q2,P,HCB1,17
S/19/868,M,Q2,P,HCB1,18
S/19/847,M,Q2,P,HCB1,19
S/18/082,M,Q2,P,HCB1,20
S/18/477,A,Q2,P,HCB1,21
S/18/518,A,Q2,P,HCB1,22
S/18/583,A,Q2,P,HCB1,23
S/18/594,A,Q2,P,HCB1,24
S/18/603,A,Q2,P,HCB1,25
S/18/424,A,Q2,P,HCB1,26
S/18/826,A,Q2,P,HCB1,27
S/18/821,A,Q2,P,HCB1,28
S/18/813,A,Q2,P,HCB1,29
S/18/825,A,Q2,P,HCB1,30
S/19/363,A,Q2,P,HCB1,31
s/19/415,A,Q2,P,HCB1,32
S/19/571,A,Q2,P,HCB1,33
S/19/584,A,Q2,P,HCB1,34
S/18/479,A,Q2,P,HCB1,35
S/19/837,A,Q2,P,HCB1,36
S/19/831,A,Q2,P,HCB1,37
S/19/842,A,Q2,P,HCB1,38
s/19/805,A,Q2,P,HCB1,39
S/18/144,A,Q2,P,HCB1,40